Au"status"	"family"	"pval"	"qval"	"id"	"symbol"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"	"gene_id"
"ENSMUSG00000035150"	"OK"	"negbinomial.size"	3.55977057142709e-97	1.8419743073082e-95	"ENSMUSG00000035150"	"Eif2s3x"	"Eif2s3x"	20186	FALSE	"ENSMUSG00000035150"
"ENSMUSG00000025151"	"OK"	"negbinomial.size"	1.59007165960297e-47	3.64196560269357e-46	"ENSMUSG00000025151"	"Maged1"	"Maged1"	26730	TRUE	"ENSMUSG00000025151"
"ENSMUSG00000051159"	"OK"	"negbinomial.size"	1.34440168679077e-73	5.14473127070424e-72	"ENSMUSG00000051159"	"Cited1"	"Cited1"	15240	TRUE	"ENSMUSG00000051159"
"ENSMUSG00000085715"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000085715"	"Tsix"	"Tsix"	10719	TRUE	"ENSMUSG00000085715"
"ENSMUSG00000086503"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000086503"	"Xist"	"Xist"	21210	TRUE	"ENSMUSG00000086503"
"ENSMUSG00000062070"	"OK"	"negbinomial.size"	3.29650670801431e-50	8.17565158874568e-49	"ENSMUSG00000062070"	"Pgk1"	"Pgk1"	7973	FALSE	"ENSMUSG00000062070"
"ENSMUSG00000031246"	"OK"	"negbinomial.size"	4.81255364863326e-35	8.20980537540668e-34	"ENSMUSG00000031246"	"Sh3bgrl"	"Sh3bgrl"	21986	FALSE	"ENSMUSG00000031246"
"ENSMUSG00000034755"	"OK"	"negbinomial.size"	3.80107768420671e-68	1.32442471882594e-66	"ENSMUSG00000034755"	"Pcdh11x"	"Pcdh11x"	12058	TRUE	"ENSMUSG00000034755"
"ENSMUSG00000067377"	"OK"	"negbinomial.size"	1.94041340363993e-61	5.87975462289727e-60	"ENSMUSG00000067377"	"Tspan6"	"Tspan6"	20805	FALSE	"ENSMUSG00000067377"
"ENSMUSG00000079435"	"OK"	"negbinomial.size"	6.04901287121586e-96	3.08896313013728e-94	"ENSMUSG00000079435"	"Rpl36a"	"Rpl36a"	27570	FALSE	"ENSMUSG00000079435"
"ENSMUSG00000045427"	"OK"	"negbinomial.size"	1.82399230457393e-36	3.2467063021416e-35	"ENSMUSG00000045427"	"Hnrnph2"	"Hnrnph2"	17991	FALSE	"ENSMUSG00000045427"
"ENSMUSG00000048040"	"OK"	"negbinomial.size"	2.87442867489128e-104	1.58756122735573e-102	"ENSMUSG00000048040"	"Arxes2"	"Arxes2"	20020	TRUE	"ENSMUSG00000048040"
"ENSMUSG00000048355"	"OK"	"negbinomial.size"	1.38514463990887e-103	7.56969395318618e-102	"ENSMUSG00000048355"	"Arxes1"	"Arxes1"	20064	TRUE	"ENSMUSG00000048355"
"ENSMUSG00000051579"	"OK"	"negbinomial.size"	7.32480588190242e-46	1.60681481141733e-44	"ENSMUSG00000051579"	"Tceal8"	"Tceal8"	24816	TRUE	"ENSMUSG00000051579"
"ENSMUSG00000046432"	"OK"	"negbinomial.size"	2.70394595509465e-111	1.61356161879691e-109	"ENSMUSG00000046432"	"Ngfrap1"	"Ngfrap1"	26259	TRUE	"ENSMUSG00000046432"
"ENSMUSG00000025268"	"OK"	"negbinomial.size"	2.56222121569262e-53	6.78683595823343e-52	"ENSMUSG00000025268"	"Maged2"	"Maged2"	15086	TRUE	"ENSMUSG00000025268"
"ENSMUSG00000047238"	"OK"	"negbinomial.size"	1.61460111598929e-115	1.01811386160053e-113	"ENSMUSG00000047238"	"Mageh1"	"Mageh1"	24172	TRUE	"ENSMUSG00000047238"
"ENSMUSG00000071708"	"OK"	"negbinomial.size"	8.49148344785664e-73	3.19456170773834e-71	"ENSMUSG00000071708"	"Sms"	"Sms"	23734	TRUE	"ENSMUSG00000071708"
"ENSMUSG00000031342"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000031342"	"Gpm6b"	"Gpm6b"	27350	TRUE	"ENSMUSG00000031342"
"ENSMUSG00000079317"	"OK"	"negbinomial.size"	2.43138421397624e-69	8.60654753015454e-68	"ENSMUSG00000079317"	"Trappc2"	"Trappc2"	14510	FALSE	"ENSMUSG00000079317"
"ENSMUSG00000079316"	"OK"	"negbinomial.size"	2.69156226363221e-43	5.53779157940181e-42	"ENSMUSG00000079316"	"Rab9"	"Rab9"	19427	FALSE	"ENSMUSG00000079316"
"ENSMUSG00000049775"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000049775"	"Tmsb4x"	"Tmsb4x"	27577	TRUE	"ENSMUSG00000049775"
"ENSMUSG00000035299"	"OK"	"negbinomial.size"	2.18739298010221e-257	4.15471288598681e-255	"ENSMUSG00000035299"	"Mid1"	"Mid1"	5651	TRUE	"ENSMUSG00000035299"
"ENSMUSG00000095562"	"OK"	"negbinomial.size"	5.89308279816159e-46	1.29822863622867e-44	"ENSMUSG00000095562"	"Gm21887"	"Gm21887"	316	TRUE	"ENSMUSG00000095562"
"ENSMUSG00000027533"	"OK"	"negbinomial.size"	8.78987721628841e-158	8.3989164198584e-156	"ENSMUSG00000027533"	"Fabp5"	"Fabp5"	27451	TRUE	"ENSMUSG00000027533"
"ENSMUSG00000039795"	"OK"	"negbinomial.size"	1.23210214239163e-63	3.88461353598171e-62	"ENSMUSG00000039795"	"Zfand1"	"Zfand1"	10622	FALSE	"ENSMUSG00000039795"
"ENSMUSG00000027559"	"OK"	"negbinomial.size"	9.61417646722529e-151	8.60579301592149e-149	"ENSMUSG00000027559"	"Car3"	"Car3"	10640	TRUE	"ENSMUSG00000027559"
"ENSMUSG00000027562"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000027562"	"Car2"	"Car2"	22094	TRUE	"ENSMUSG00000027562"
"ENSMUSG00000098008"	"OK"	"negbinomial.size"	4.62326247161902e-36	8.10893164363358e-35	"ENSMUSG00000098008"	"A930001A20Rik"	"A930001A20Rik"	536	FALSE	"ENSMUSG00000098008"
"ENSMUSG00000039221"	"OK"	"negbinomial.size"	1.62487384728869e-47	3.71621294735997e-46	"ENSMUSG00000039221"	"Rpl22l1"	"Rpl22l1"	27530	TRUE	"ENSMUSG00000039221"
"ENSMUSG00000027706"	"OK"	"negbinomial.size"	2.77907261242657e-72	1.03550373058717e-70	"ENSMUSG00000027706"	"Sec62"	"Sec62"	25043	FALSE	"ENSMUSG00000027706"
"ENSMUSG00000074637"	"OK"	"negbinomial.size"	5.21759263494013e-82	2.23252761783496e-80	"ENSMUSG00000074637"	"Sox2"	"Sox2"	26369	TRUE	"ENSMUSG00000074637"
"ENSMUSG00000027712"	"OK"	"negbinomial.size"	2.83287943098663e-86	1.26787635452922e-84	"ENSMUSG00000027712"	"Anxa5"	"Anxa5"	8448	TRUE	"ENSMUSG00000027712"
"ENSMUSG00000048332"	"OK"	"negbinomial.size"	1.159676059962e-95	5.90259955356476e-94	"ENSMUSG00000048332"	"Lhfp"	"Lhfp"	14619	TRUE	"ENSMUSG00000048332"
"ENSMUSG00000027800"	"OK"	"negbinomial.size"	5.60154353658644e-43	1.14794790239913e-41	"ENSMUSG00000027800"	"Tm4sf1"	"Tm4sf1"	1415	TRUE	"ENSMUSG00000027800"
"ENSMUSG00000027805"	"OK"	"negbinomial.size"	6.10416314771413e-93	2.93433151313727e-91	"ENSMUSG00000027805"	"Pfn2"	"Pfn2"	25900	TRUE	"ENSMUSG00000027805"
"ENSMUSG00000027835"	"OK"	"negbinomial.size"	6.42902149007374e-60	1.87864933785926e-58	"ENSMUSG00000027835"	"Pdcd10"	"Pdcd10"	21203	FALSE	"ENSMUSG00000027835"
"ENSMUSG00000033981"	"OK"	"negbinomial.size"	6.68807811791729e-138	5.51147178235777e-136	"ENSMUSG00000033981"	"Gria2"	"Gria2"	23357	TRUE	"ENSMUSG00000033981"
"ENSMUSG00000028081"	"OK"	"negbinomial.size"	6.47194538563953e-37	1.17209941141088e-35	"ENSMUSG00000028081"	"Rps3a1"	"Rps3a1"	27573	FALSE	"ENSMUSG00000028081"
"ENSMUSG00000057777"	"OK"	"negbinomial.size"	2.99908270363447e-128	2.26751034510228e-126	"ENSMUSG00000057777"	"Mab21l2"	"Mab21l2"	304	TRUE	"ENSMUSG00000057777"
"ENSMUSG00000004897"	"OK"	"negbinomial.size"	5.26682681253175e-116	3.34819704510947e-114	"ENSMUSG00000004897"	"Hdgf"	"Hdgf"	26608	TRUE	"ENSMUSG00000004897"
"ENSMUSG00000001416"	"OK"	"negbinomial.size"	1.23663008773413e-50	3.08662077186843e-49	"ENSMUSG00000001416"	"Cct3"	"Cct3"	26566	FALSE	"ENSMUSG00000001416"
"ENSMUSG00000001418"	"OK"	"negbinomial.size"	2.58009452180159e-86	1.16141538083988e-84	"ENSMUSG00000001418"	"Glmp"	"Glmp"	15526	FALSE	"ENSMUSG00000001418"
"ENSMUSG00000028062"	"OK"	"negbinomial.size"	7.89212294304666e-39	1.50821858696873e-37	"ENSMUSG00000028062"	"Lamtor2"	"Lamtor2"	24658	FALSE	"ENSMUSG00000028062"
"ENSMUSG00000041355"	"OK"	"negbinomial.size"	1.2644051971803e-91	5.9495803462487e-90	"ENSMUSG00000041355"	"Ssr2"	"Ssr2"	25709	FALSE	"ENSMUSG00000041355"
"ENSMUSG00000059743"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000059743"	"Fdps"	"Fdps"	25255	TRUE	"ENSMUSG00000059743"
"ENSMUSG00000028044"	"OK"	"negbinomial.size"	9.7828693113706e-95	4.8992986985401e-93	"ENSMUSG00000028044"	"Cks1b"	"Cks1b"	21008	TRUE	"ENSMUSG00000028044"
"ENSMUSG00000044080"	"OK"	"negbinomial.size"	9.8309504989352e-36	1.70508968842891e-34	"ENSMUSG00000044080"	"S100a1"	"S100a1"	6151	TRUE	"ENSMUSG00000044080"
"ENSMUSG00000001025"	"OK"	"negbinomial.size"	2.68414175807865e-49	6.53211060657421e-48	"ENSMUSG00000001025"	"S100a6"	"S100a6"	5675	TRUE	"ENSMUSG00000001025"
"ENSMUSG00000027907"	"OK"	"negbinomial.size"	7.17400360760031e-56	1.98463776533525e-54	"ENSMUSG00000027907"	"S100a11"	"S100a11"	22326	TRUE	"ENSMUSG00000027907"
"ENSMUSG00000041959"	"OK"	"negbinomial.size"	1.46121353384802e-305	3.50129242918199e-303	"ENSMUSG00000041959"	"S100a10"	"S100a10"	26255	TRUE	"ENSMUSG00000041959"
"ENSMUSG00000005779"	"OK"	"negbinomial.size"	1.01887425661076e-50	2.54718564152689e-49	"ENSMUSG00000005779"	"Psmb4"	"Psmb4"	26480	FALSE	"ENSMUSG00000005779"
"ENSMUSG00000005625"	"OK"	"negbinomial.size"	2.14821788927815e-44	4.54599098172653e-43	"ENSMUSG00000005625"	"Psmd4"	"Psmd4"	25718	FALSE	"ENSMUSG00000005625"
"ENSMUSG00000045934"	"OK"	"negbinomial.size"	3.6610460570184e-53	9.64818821286997e-52	"ENSMUSG00000045934"	"Mtmr11"	"Mtmr11"	11330	TRUE	"ENSMUSG00000045934"
"ENSMUSG00000053398"	"OK"	"negbinomial.size"	4.61645522737979e-110	2.71325623269586e-108	"ENSMUSG00000053398"	"Phgdh"	"Phgdh"	25241	TRUE	"ENSMUSG00000053398"
"ENSMUSG00000027852"	"OK"	"negbinomial.size"	2.10786765615296e-44	4.46667193803842e-43	"ENSMUSG00000027852"	"Nras"	"Nras"	20140	FALSE	"ENSMUSG00000027852"
"ENSMUSG00000000563"	"OK"	"negbinomial.size"	2.11239165825964e-118	1.37658996139723e-116	"ENSMUSG00000000563"	"Atp5f1"	"Atp5f1"	27472	FALSE	"ENSMUSG00000000563"
"ENSMUSG00000040724"	"OK"	"negbinomial.size"	1.68197643476102e-93	8.26396939160976e-92	"ENSMUSG00000040724"	"Kcna2"	"Kcna2"	14378	TRUE	"ENSMUSG00000040724"
"ENSMUSG00000004032"	"OK"	"negbinomial.size"	9.90448376464088e-95	4.94430559725262e-93	"ENSMUSG00000004032"	"Gstm5"	"Gstm5"	24023	FALSE	"ENSMUSG00000004032"
"ENSMUSG00000058135"	"OK"	"negbinomial.size"	6.45170791027046e-170	7.12662061719591e-168	"ENSMUSG00000058135"	"Gstm1"	"Gstm1"	20026	TRUE	"ENSMUSG00000058135"
"ENSMUSG00000033721"	"OK"	"negbinomial.size"	4.99573754099174e-38	9.37453159047546e-37	"ENSMUSG00000033721"	"Vav3"	"Vav3"	19503	TRUE	"ENSMUSG00000033721"
"ENSMUSG00000053931"	"OK"	"negbinomial.size"	1.38792967351953e-38	2.64590020380253e-37	"ENSMUSG00000053931"	"Cnn3"	"Cnn3"	25934	FALSE	"ENSMUSG00000053931"
"ENSMUSG00000028128"	"OK"	"negbinomial.size"	6.33204171370647e-42	1.27089625890436e-40	"ENSMUSG00000028128"	"F3"	"F3"	3934	TRUE	"ENSMUSG00000028128"
"ENSMUSG00000044528"	"OK"	"negbinomial.size"	1.08342759619359e-37	2.01124967946546e-36	"ENSMUSG00000044528"	"Tram1l1"	"Tram1l1"	7262	FALSE	"ENSMUSG00000044528"
"ENSMUSG00000027968"	"OK"	"negbinomial.size"	3.50926373777979e-139	2.9704773215174e-137	"ENSMUSG00000027968"	"Larp7"	"Larp7"	16716	TRUE	"ENSMUSG00000027968"
"ENSMUSG00000062006"	"OK"	"negbinomial.size"	3.55026081353504e-93	1.72259539472923e-91	"ENSMUSG00000062006"	"Rpl34"	"Rpl34"	27576	FALSE	"ENSMUSG00000062006"
"ENSMUSG00000028032"	"OK"	"negbinomial.size"	1.33151477995233e-37	2.4659147084135e-36	"ENSMUSG00000028032"	"Papss1"	"Papss1"	16384	FALSE	"ENSMUSG00000028032"
"ENSMUSG00000091512"	"OK"	"negbinomial.size"	1.88429256291641e-77	7.5250914531854e-76	"ENSMUSG00000091512"	"Lamtor3"	"Lamtor3"	17367	FALSE	"ENSMUSG00000091512"
"ENSMUSG00000028138"	"OK"	"negbinomial.size"	8.11445301955608e-72	3.00910966141871e-70	"ENSMUSG00000028138"	"Adh5"	"Adh5"	22467	FALSE	"ENSMUSG00000028138"
"ENSMUSG00000028156"	"OK"	"negbinomial.size"	1.42323026413422e-37	2.62639945069793e-36	"ENSMUSG00000028156"	"Eif4e"	"Eif4e"	25745	FALSE	"ENSMUSG00000028156"
"ENSMUSG00000028266"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000028266"	"Lmo4"	"Lmo4"	24283	TRUE	"ENSMUSG00000028266"
"ENSMUSG00000037072"	"OK"	"negbinomial.size"	1.39494582442579e-111	8.45380592040141e-110	"ENSMUSG00000037072"	"Sep15"	"Sep15"	27209	FALSE	"ENSMUSG00000037072"
"ENSMUSG00000068523"	"OK"	"negbinomial.size"	2.61461371619905e-92	1.2415429460305e-90	"ENSMUSG00000068523"	"Gng5"	"Gng5"	27443	FALSE	"ENSMUSG00000068523"
"ENSMUSG00000005034"	"OK"	"negbinomial.size"	8.24129862375264e-38	1.53538547924578e-36	"ENSMUSG00000005034"	"Prkacb"	"Prkacb"	12701	TRUE	"ENSMUSG00000005034"
"ENSMUSG00000039037"	"OK"	"negbinomial.size"	1.38243446614934e-49	3.38012822767283e-48	"ENSMUSG00000039037"	"St6galnac5"	"St6galnac5"	6625	TRUE	"ENSMUSG00000039037"
"ENSMUSG00000028173"	"OK"	"negbinomial.size"	2.17089929242733e-53	5.77978743240269e-52	"ENSMUSG00000028173"	"Wls"	"Wls"	9873	TRUE	"ENSMUSG00000028173"
"ENSMUSG00000028234"	"OK"	"negbinomial.size"	7.5638059842686e-174	8.72639097814692e-172	"ENSMUSG00000028234"	"Rps20"	"Rps20"	27568	FALSE	"ENSMUSG00000028234"
"ENSMUSG00000068240"	"OK"	"negbinomial.size"	1.68473684200775e-92	8.02439642638249e-91	"ENSMUSG00000068240"	"Gm11808"	"Gm11808"	16520	FALSE	"ENSMUSG00000068240"
"ENSMUSG00000028249"	"OK"	"negbinomial.size"	9.87859091340739e-52	2.53057653743948e-50	"ENSMUSG00000028249"	"Sdcbp"	"Sdcbp"	20012	FALSE	"ENSMUSG00000028249"
"ENSMUSG00000041261"	"OK"	"negbinomial.size"	3.28100116758913e-52	8.50276092931793e-51	"ENSMUSG00000041261"	"Car8"	"Car8"	7666	TRUE	"ENSMUSG00000041261"
"ENSMUSG00000028226"	"OK"	"negbinomial.size"	1.37570152071436e-85	6.10443053707298e-84	"ENSMUSG00000028226"	"Mmp16"	"Mmp16"	4489	TRUE	"ENSMUSG00000028226"
"ENSMUSG00000028229"	"OK"	"negbinomial.size"	8.02473671635784e-36	1.39648351237177e-34	"ENSMUSG00000028229"	"Rmdn1"	"Rmdn1"	8820	FALSE	"ENSMUSG00000028229"
"ENSMUSG00000073987"	"OK"	"negbinomial.size"	4.64250401903044e-63	1.44903807808415e-61	"ENSMUSG00000073987"	"Ggh"	"Ggh"	18441	FALSE	"ENSMUSG00000073987"
"ENSMUSG00000071014"	"OK"	"negbinomial.size"	1.69344974636925e-49	4.13408774289986e-48	"ENSMUSG00000071014"	"Ndufb6"	"Ndufb6"	27092	FALSE	"ENSMUSG00000071014"
"ENSMUSG00000028410"	"OK"	"negbinomial.size"	2.70766045089167e-49	6.57906576016189e-48	"ENSMUSG00000028410"	"Dnaja1"	"Dnaja1"	27207	FALSE	"ENSMUSG00000028410"
"ENSMUSG00000028419"	"OK"	"negbinomial.size"	1.67685681593791e-154	1.55458600644243e-152	"ENSMUSG00000028419"	"Chmp5"	"Chmp5"	23012	FALSE	"ENSMUSG00000028419"
"ENSMUSG00000028447"	"OK"	"negbinomial.size"	3.11731141632474e-48	7.34525345071978e-47	"ENSMUSG00000028447"	"Dctn3"	"Dctn3"	24747	FALSE	"ENSMUSG00000028447"
"ENSMUSG00000073876"	"OK"	"negbinomial.size"	3.319695789095e-249	5.80946763091625e-247	"ENSMUSG00000073876"	"Gm13305"	"Gm13305"	907	FALSE	"ENSMUSG00000073876"
"ENSMUSG00000028452"	"OK"	"negbinomial.size"	4.31333894946505e-200	5.64539950738807e-198	"ENSMUSG00000028452"	"Vcp"	"Vcp"	26662	FALSE	"ENSMUSG00000028452"
"ENSMUSG00000028466"	"OK"	"negbinomial.size"	4.38469889423566e-46	9.70052347694893e-45	"ENSMUSG00000028466"	"Creb3"	"Creb3"	11640	FALSE	"ENSMUSG00000028466"
"ENSMUSG00000028470"	"OK"	"negbinomial.size"	3.9625855994474e-69	1.39948459663023e-67	"ENSMUSG00000028470"	"Hint2"	"Hint2"	17210	FALSE	"ENSMUSG00000028470"
"ENSMUSG00000028478"	"OK"	"negbinomial.size"	2.6037427147642e-43	5.37129705727847e-42	"ENSMUSG00000028478"	"Clta"	"Clta"	26968	FALSE	"ENSMUSG00000028478"
"ENSMUSG00000028333"	"OK"	"negbinomial.size"	1.81206643853968e-109	1.05309458135282e-107	"ENSMUSG00000028333"	"Anp32b"	"Anp32b"	26647	TRUE	"ENSMUSG00000028333"
"ENSMUSG00000015247"	"OK"	"negbinomial.size"	4.31093843205111e-36	7.57820158907404e-35	"ENSMUSG00000015247"	"Nipsnap3b"	"Nipsnap3b"	16357	FALSE	"ENSMUSG00000015247"
"ENSMUSG00000015243"	"OK"	"negbinomial.size"	8.37417507697681e-42	1.67860716633094e-40	"ENSMUSG00000015243"	"Abca1"	"Abca1"	1733	TRUE	"ENSMUSG00000015243"
"ENSMUSG00000028367"	"OK"	"negbinomial.size"	3.77574057454664e-270	7.63729343487844e-268	"ENSMUSG00000028367"	"Txn1"	"Txn1"	27569	TRUE	"ENSMUSG00000028367"
"ENSMUSG00000028393"	"OK"	"negbinomial.size"	1.13235965820338e-41	2.25819483694207e-40	"ENSMUSG00000028393"	"Alad"	"Alad"	12635	FALSE	"ENSMUSG00000028393"
"ENSMUSG00000039105"	"OK"	"negbinomial.size"	2.13939520658326e-194	2.70903092215725e-192	"ENSMUSG00000039105"	"Atp6v1g1"	"Atp6v1g1"	27303	FALSE	"ENSMUSG00000039105"
"ENSMUSG00000070934"	"OK"	"negbinomial.size"	9.62137369881328e-123	6.60144913475845e-121	"ENSMUSG00000070934"	"Rraga"	"Rraga"	21803	FALSE	"ENSMUSG00000070934"
"ENSMUSG00000028495"	"OK"	"negbinomial.size"	1.43915695735978e-48	3.41170009298e-47	"ENSMUSG00000028495"	"Rps6"	"Rps6"	27570	FALSE	"ENSMUSG00000028495"
"ENSMUSG00000044303"	"OK"	"negbinomial.size"	2.17173690771931e-182	2.64256268263502e-180	"ENSMUSG00000044303"	"Cdkn2a"	"Cdkn2a"	14539	TRUE	"ENSMUSG00000044303"
"ENSMUSG00000028556"	"OK"	"negbinomial.size"	1.50086984848602e-70	5.43629020701621e-69	"ENSMUSG00000028556"	"Dock7"	"Dock7"	14526	FALSE	"ENSMUSG00000028556"
"ENSMUSG00000028549"	"OK"	"negbinomial.size"	6.77502904034829e-43	1.38661073986103e-41	"ENSMUSG00000028549"	"Itgb3bp"	"Itgb3bp"	9046	FALSE	"ENSMUSG00000028549"
"ENSMUSG00000028618"	"OK"	"negbinomial.size"	1.19688153492994e-208	1.75862546288055e-206	"ENSMUSG00000028618"	"Tmem59"	"Tmem59"	25677	TRUE	"ENSMUSG00000028618"
"ENSMUSG00000028610"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000028610"	"Dmrtb1"	"Dmrtb1"	13034	TRUE	"ENSMUSG00000028610"
"ENSMUSG00000063800"	"OK"	"negbinomial.size"	6.71964814803985e-48	1.55049659119586e-46	"ENSMUSG00000063800"	"Prpf38a"	"Prpf38a"	17831	FALSE	"ENSMUSG00000063800"
"ENSMUSG00000091985"	"OK"	"negbinomial.size"	4.96891949836621e-61	1.49692304036855e-59	"ENSMUSG00000091985"	"Gm17354"	"Gm17354"	1098	FALSE	"ENSMUSG00000091985"
"ENSMUSG00000003411"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000003411"	"Rab3b"	"Rab3b"	16564	TRUE	"ENSMUSG00000003411"
"ENSMUSG00000086483"	"OK"	"negbinomial.size"	7.65683087418704e-61	2.28458124263339e-59	"ENSMUSG00000086483"	"8030443G20Rik"	"8030443G20Rik"	302	FALSE	"ENSMUSG00000086483"
"ENSMUSG00000053510"	"OK"	"negbinomial.size"	1.7179373661161e-37	3.15901705752754e-36	"ENSMUSG00000053510"	"Nrd1"	"Nrd1"	16511	FALSE	"ENSMUSG00000053510"
"ENSMUSG00000028546"	"OK"	"negbinomial.size"	7.99343910871355e-75	3.10468364384573e-73	"ENSMUSG00000028546"	"Elavl4"	"Elavl4"	9283	TRUE	"ENSMUSG00000028546"
"ENSMUSG00000063882"	"OK"	"negbinomial.size"	5.30430994681174e-78	2.14583447848293e-76	"ENSMUSG00000063882"	"Uqcrh"	"Uqcrh"	27543	FALSE	"ENSMUSG00000063882"
"ENSMUSG00000028691"	"OK"	"negbinomial.size"	4.50497320196304e-306	1.09632746282147e-303	"ENSMUSG00000028691"	"Prdx1"	"Prdx1"	27506	FALSE	"ENSMUSG00000028691"
"ENSMUSG00000047675"	"OK"	"negbinomial.size"	4.35409621511692e-119	2.87351900637483e-117	"ENSMUSG00000047675"	"Rps8"	"Rps8"	27577	FALSE	"ENSMUSG00000047675"
"ENSMUSG00000033379"	"OK"	"negbinomial.size"	1.57352698048188e-146	1.38461484299465e-144	"ENSMUSG00000033379"	"Atp6v0b"	"Atp6v0b"	26720	FALSE	"ENSMUSG00000033379"
"ENSMUSG00000090125"	"OK"	"negbinomial.size"	3.83889978723612e-63	1.20061976277515e-61	"ENSMUSG00000090125"	"Pou3f1"	"Pou3f1"	3936	TRUE	"ENSMUSG00000090125"
"ENSMUSG00000042608"	"OK"	"negbinomial.size"	1.49878173896445e-69	5.32957205122632e-68	"ENSMUSG00000042608"	"Stk40"	"Stk40"	12129	TRUE	"ENSMUSG00000042608"
"ENSMUSG00000028837"	"OK"	"negbinomial.size"	5.18199847328126e-72	1.92624406256219e-70	"ENSMUSG00000028837"	"Psmb2"	"Psmb2"	27050	FALSE	"ENSMUSG00000028837"
"ENSMUSG00000028795"	"OK"	"negbinomial.size"	1.55960422657085e-51	3.96909082170604e-50	"ENSMUSG00000028795"	"Ccdc28b"	"Ccdc28b"	17341	FALSE	"ENSMUSG00000028795"
"ENSMUSG00000054428"	"OK"	"negbinomial.size"	5.02837363528006e-115	3.15794029715673e-113	"ENSMUSG00000054428"	"Atpif1"	"Atpif1"	27527	FALSE	"ENSMUSG00000054428"
"ENSMUSG00000028879"	"OK"	"negbinomial.size"	1.02858125748805e-43	2.14747360393785e-42	"ENSMUSG00000028879"	"Stx12"	"Stx12"	21846	FALSE	"ENSMUSG00000028879"
"ENSMUSG00000028868"	"OK"	"negbinomial.size"	5.18591703569714e-37	9.42481421598401e-36	"ENSMUSG00000028868"	"Wasf2"	"Wasf2"	15707	FALSE	"ENSMUSG00000028868"
"ENSMUSG00000003038"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000003038"	"Hmgn2"	"Hmgn2"	22942	TRUE	"ENSMUSG00000003038"
"ENSMUSG00000037242"	"OK"	"negbinomial.size"	1.96842892093629e-39	3.79434163905727e-38	"ENSMUSG00000037242"	"Clic4"	"Clic4"	20371	FALSE	"ENSMUSG00000037242"
"ENSMUSG00000007872"	"OK"	"negbinomial.size"	8.20726638091471e-40	1.59188261373283e-38	"ENSMUSG00000007872"	"Id3"	"Id3"	22996	TRUE	"ENSMUSG00000007872"
"ENSMUSG00000006699"	"OK"	"negbinomial.size"	4.53391698853827e-118	2.93011440234371e-116	"ENSMUSG00000006699"	"Cdc42"	"Cdc42"	27186	FALSE	"ENSMUSG00000006699"
"ENSMUSG00000028757"	"OK"	"negbinomial.size"	1.42647376178244e-52	3.72773973821501e-51	"ENSMUSG00000028757"	"Ddost"	"Ddost"	22511	FALSE	"ENSMUSG00000028757"
"ENSMUSG00000050608"	"OK"	"negbinomial.size"	7.25349934715618e-45	1.56689670363325e-43	"ENSMUSG00000050608"	"Minos1"	"Minos1"	27508	FALSE	"ENSMUSG00000050608"
"ENSMUSG00000040945"	"OK"	"negbinomial.size"	5.22153804980734e-48	1.21200380217212e-46	"ENSMUSG00000040945"	"Rcc2"	"Rcc2"	15294	FALSE	"ENSMUSG00000040945"
"ENSMUSG00000009863"	"OK"	"negbinomial.size"	1.50807866660828e-73	5.75694245892744e-72	"ENSMUSG00000009863"	"Sdhb"	"Sdhb"	27200	FALSE	"ENSMUSG00000009863"
"ENSMUSG00000040659"	"OK"	"negbinomial.size"	2.19646854725735e-36	3.89635508240697e-35	"ENSMUSG00000040659"	"Efhd2"	"Efhd2"	6778	TRUE	"ENSMUSG00000040659"
"ENSMUSG00000029001"	"OK"	"negbinomial.size"	2.13326815434156e-43	4.4124371187078e-42	"ENSMUSG00000029001"	"Fbxo44"	"Fbxo44"	10924	FALSE	"ENSMUSG00000029001"
"ENSMUSG00000041556"	"OK"	"negbinomial.size"	1.22088198611065e-49	2.99924872770873e-48	"ENSMUSG00000041556"	"Fbxo2"	"Fbxo2"	4921	TRUE	"ENSMUSG00000041556"
"ENSMUSG00000063524"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000063524"	"Eno1"	"Eno1"	25820	TRUE	"ENSMUSG00000063524"
"ENSMUSG00000029064"	"OK"	"negbinomial.size"	1.78534541174875e-39	3.4499695766733e-38	"ENSMUSG00000029064"	"Gnb1"	"Gnb1"	26824	TRUE	"ENSMUSG00000029064"
"ENSMUSG00000029063"	"OK"	"negbinomial.size"	1.20658523167056e-47	2.77176474679483e-46	"ENSMUSG00000029063"	"Nadk"	"Nadk"	17912	FALSE	"ENSMUSG00000029063"
"ENSMUSG00000042116"	"OK"	"negbinomial.size"	8.28493550269089e-52	2.1293377962774e-50	"ENSMUSG00000042116"	"Vwa1"	"Vwa1"	3772	TRUE	"ENSMUSG00000042116"
